apn_stripped,year,sold_date,certificate_number,tsi_tax_amount,tsi_tax_penalty,tsi_costs,tsi_fee,tsi_total_sold,extension_date,ssi_tax_amount,ssi_penalty,ssi_costs,ssi_back_tax_drainage,ssi_total,total_due,fips
1527134027,2022,10/31/2022,202201612,260.76,13.69,104.00,90.22,378.45,10/31/2024,263.64,9.89,30.00,0.00,303.53,808.62,11723
1528229020,2021,11/1/2021,202101555,3129.30,164.29,104.00,89.73,3397.59,05/01/2025,6576.24,246.61,60.00,0.00,6882.85,11606.87,11723
0610103011,2020,2/1/2021,202000197,7615.02,742.46,104.00,1639.18,8461.48,05/01/2024,24121.48,487.07,90.00,0.00,24698.55,39643.82,11723
0206376027,2022,10/31/2022,202200055,2457.03,73.71,104.00,90.50,2634.74,05/01/2024,2519.01,37.79,30.00,0.00,2586.80,5622.46,11723
0302452097,2022,10/31/2022,202200127,1933.35,58.00,104.00,90.50,2095.35,05/01/2025,0.00,0.00,0.00,0.00,0.00,2185.85,11723
0311381007,2022,10/31/2022,202200188,4572.40,240.06,104.00,90.50,4916.46,05/01/2024,4699.76,176.24,30.00,0.00,4906.00,10501.68,11723
0323205004,2022,10/31/2022,202200282,9570.48,502.45,104.00,90.50,10176.93,05/01/2025,9978.98,374.21,30.00,0.00,10383.19,21896.6,11723
0524431005,2021,11/1/2021,202100346,5393.24,161.80,104.00,89.73,5659.04,05/01/2024,21995.34,824.82,60.00,0.00,22880.16,31374.55,11723
0612210014,2022,10/31/2022,202200464,5094.38,267.46,104.00,90.50,5465.84,05/01/2025,5295.90,198.60,30.00,0.00,5524.50,11743.78,11723
0613132017,2022,10/31/2022,202200498,4775.70,250.73,104.00,90.50,5130.43,05/01/2024,2500.41,37.51,30.00,0.00,2567.92,8097.0,11723
0614410006,2022,10/31/2022,202200555,4800.32,252.01,104.00,90.50,5156.33,01/09/2024,5026.48,188.49,30.00,0.00,5244.97,11121.2,11723
0618457011,2022,10/31/2022,202200593,4367.56,131.03,104.00,90.50,4602.59,09/30/2025,9072.18,340.21,30.00,0.00,9442.39,15268.57,11723
0624129012,2021,11/1/2021,202100615,1537.83,46.13,104.00,89.73,1687.96,09/30/2025,1637.80,24.57,30.00,0.00,1692.37,3673.14,11723
0624179013,2022,10/31/2022,202200636,3553.08,186.54,104.00,90.50,3843.62,09/30/2025,3693.64,138.51,30.00,0.00,3862.15,8259.73,11723
0934253026,2022,10/31/2022,202200911,16794.82,881.73,104.00,90.50,17780.55,09/30/2025,17443.20,654.12,30.00,0.00,18127.32,38173.65,11723
1208200060,2021,11/1/2021,202100944,5669.15,170.07,104.00,89.73,5943.22,05/15/2024,11622.12,174.33,60.00,0.00,11856.45,19312.18,11723
1317100007,2022,10/31/2022,202201053,9915.72,520.58,104.00,90.50,10540.3,09/30/2025,0.00,0.00,0.00,0.00,0.00,10630.8,11723
1327100002,2022,10/31/2022,202201058,4455.10,233.90,104.00,90.50,4793.0,09/30/2025,4401.08,165.04,30.00,0.00,4596.12,10031.15,11723
1501351043,2022,10/31/2022,202201134,1325.02,39.75,104.00,90.50,1468.77,09/30/2025,0.00,0.00,0.00,0.00,0.00,1559.27,11723
1516426004,2021,11/1/2021,202101238,3529.88,185.32,104.00,89.73,3819.2,09/30/2025,7821.22,293.30,60.00,0.00,8174.52,13064.39,11723
1523176019,2022,10/31/2022,202201448,826.59,24.80,104.00,90.50,955.39,05/15/2024,0.00,0.00,0.00,0.00,0.00,1045.89,11723
1534127007,2021,11/1/2021,202101605,3236.92,169.93,104.00,89.73,3510.85,09/30/2025,6802.44,255.09,60.00,0.00,7117.53,11572.21,11723
0915353005,2021,11/1/2021,202100819,2667.46,140.04,104.00,89.73,2911.5,09/30/2025,2683.60,100.64,30.00,0.00,2814.24,6490.89,11723
0314129022,2020,2/1/2021,202000101,2493.62,243.13,104.00,89.36,2840.75,05/15/2024,0.00,0.00,0.00,0.00,0.00,5998.12,11723
0317200024,2020,2/1/2021,202000114,7340.78,715.73,104.00,89.36,8160.51,09/30/2025,0.00,0.00,0.00,0.00,0.00,16573.59,11723
0612255009,2020,2/1/2021,202000221,6371.16,621.19,104.00,89.36,7096.35,09/30/2025,0.00,0.00,0.00,0.00,0.00,7611.49,11723
1501101006,2021,11/1/2021,202101074,27.18,1.43,104.00,89.73,132.61,09/30/2025,0.00,0.00 0.00,,0.00,0.00,222.34,11723
0624257019,2020,2/1/2021,202000315,3485.86,339.87,104.00,2563.97,3929.73,05/15/2024,2188.26,82.06 30.00,,0.00,2300.32,9622.14,11723
0918252001,2020,2/1/2021,202000418,12369.36,1206.01,104.00,2497.30,13679.37,09/30/2025,38644.94,1047.21 90.00,,0.00,39782.15,65453.39,11723
1410152026,2020,2/1/2021,202000534,15228.14,1484.75,104.00,2092.14,16816.89,05/15/2024,47369.10,1289.07 90.00,,0.00,48748.17,79317.26,11723
1534258022,2020,2/1/2021,202000866,2235.98,218.01,104.00,89.36,2557.99,05/08/2024,0.00,0.00 0.00,,0.00,0.00,2647.35,11723
0935302015,2020,2/1/2021,202000452,104.00,46.13,104.00,1900.28,3322.12,01/02/2024,18702.68,604.88 90.00,,0.00,19397.56,28473.98,11723
